planner,config_variant,query_id,metric,count,total_runs,action_success_count,action_success_rate,static_footprint_valid_count,static_footprint_valid_rate,final_valid_success_count,final_valid_success_rate,collision_path_count,mean,std,P50,P95,P99,min,max
navfn,normalized,q00,planning_time_ms,5,5,5,1.0,5,1.0,5,1.0,0,8.905033,0.9391208079592319,9.106009,9.885103,10.0313814,7.477061,10.067951
navfn,normalized,q00,wall_time_ms,5,5,5,1.0,5,1.0,5,1.0,0,39.019884000000005,2.787209555873849,37.276775,42.6717676,43.08524312,36.78437,43.188612
navfn,normalized,q00,cpu_total_ms,5,5,5,1.0,5,1.0,5,1.0,0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
navfn,normalized,q00,cpu_percent,5,5,5,1.0,5,1.0,5,1.0,0,25.728597994981378,1.7622256662818367,26.826355015958324,27.118176523051446,27.17200288573238,23.154251866209545,27.185459476402613
navfn,normalized,q00,planner_rss_peak_bytes,5,5,5,1.0,5,1.0,5,1.0,0,127597772.8,134714.19578945643,127598592.0,127750144.0,127763251.2,127426560.0,127766528.0
navfn,normalized,q00,planner_pss_peak_bytes,5,5,5,1.0,5,1.0,5,1.0,0,92165324.8,134714.19578945643,92166144.0,92317696.0,92330803.2,91994112.0,92334080.0
navfn,normalized,q00,stack_rss_peak_bytes,5,5,5,1.0,5,1.0,5,1.0,0,237964492.8,134714.19578945643,237965312.0,238116864.0,238129971.2,237793280.0,238133248.0
navfn,normalized,q00,stack_pss_peak_bytes,5,5,5,1.0,5,1.0,5,1.0,0,136792268.8,134714.19578945643,136793088.0,136944640.0,136957747.2,136621056.0,136961024.0
navfn,normalized,q00,path_length_m,5,5,5,1.0,5,1.0,5,1.0,0,22.18028813570485,0.0,22.18028813570485,22.18028813570485,22.18028813570485,22.18028813570485,22.18028813570485
navfn,normalized,q00,euclidean_distance_m,5,5,5,1.0,5,1.0,5,1.0,0,13.823530663329104,0.0,13.823530663329104,13.823530663329104,13.823530663329104,13.823530663329104,13.823530663329104
