run_id,timestamp,map_id,map_sha256,query_id,query_category,mode,repetition,topology_status,fallback_used,fallback_reason,fallback_attempts,final_planner,attach_success,graph_route_success,corridor_search_success,final_success,action_success,static_footprint_valid,final_valid_success,result_code,topology_false_failure,topology_collision_count,static_footprint_collision_count,topology_attach_time_ms,topology_graph_search_time_ms,corridor_build_time_ms,corridor_grid_search_time_ms,full_grid_fallback_time_ms,total_topology_query_time_ms,topology_route_length_m,topology_route_width_min_m,final_path_length_m,minimum_clearance_m,path_file,path_point_count,source,grid_mode,topology_edge_ids,corridor_padding_used_m,corridor_attempts,expanded_nodes,generated_nodes,max_open_set_size,allowed_grid_cells,total_free_grid_cells,search_space_ratio,path_cost,search_time_ms,failure_code,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_percent,query_rss_before_bytes,query_rss_peak_bytes,query_pss_before_bytes,query_pss_peak_bytes,resource_sample_interval_ms,resource_error,total_online_time_ms,wall_time_ms,full_grid_path_length_m,length_over_full_grid,topology_path_length_m,topology_build_wall_time_ms,amortized_topology_cost_ms,total_with_amortized_topology_cost_ms,extra_online_time_vs_full_grid_ms
q03_topology_guided_grid_fallback_measured_1_1787293387603655469,2026-08-21T06:23:07.599665+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q03,forward_heading,topology_guided_grid_fallback,1,FULL_GRID_FALLBACK,True,corridor_no_path,3,full_grid_astar,True,True,False,True,True,True,True,SUCCEEDED,False,0,0,0.803984,0.213709,691.041221,58.494035,590.457296,1341.010245,38.80477272147525,0.3000000119209289,52.200714267493744,0.050000000745058,paths/q03_topology_guided_grid_fallback_measured_1_1787293387603655469.json.gz,963,grid,full_grid_fallback,"[142, 137, 129, 126, 107, 96, 87, 83, 82, 74, 69, 58, 55]",1.0,3,92512.0,93843.0,2593.0,252546.0,252546,1.0,52.200714267493744,643.672732,,1460.0,120.0,1580.0,109.24656102646829,184967168,191008768,158363648,164405248,10.0,,1446.269782,1446.269782,52.200714267493744,1.0,38.80477272147525,7763.683896,776.3683896,2117.3786346,835.460815
q03_topology_guided_grid_fallback_measured_2_1787293390014546771,2026-08-21T06:23:10.009293+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q03,forward_heading,topology_guided_grid_fallback,2,FULL_GRID_FALLBACK,True,corridor_no_path,3,full_grid_astar,True,True,False,True,True,True,True,SUCCEEDED,False,0,0,0.88713,0.241389,727.752074,65.227335,779.770343,1573.878271,38.80477272147525,0.3000000119209289,52.200714267493744,0.050000000745058,paths/q03_topology_guided_grid_fallback_measured_2_1787293390014546771.json.gz,963,grid,full_grid_fallback,"[142, 137, 129, 126, 107, 96, 87, 83, 82, 74, 69, 58, 55]",1.0,3,92512.0,93843.0,2593.0,252546.0,252546,1.0,52.200714267493744,839.124652,,1700.0,170.0,1870.0,110.65487396490629,191066112,191066112,164413440,164460544,10.0,,1689.939117,1689.939117,52.200714267493744,1.0,38.80477272147525,7763.683896,776.3683896,2350.2466606,1037.0652999999998
q03_topology_guided_grid_fallback_measured_3_1787293392376508743,2026-08-21T06:23:12.372937+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q03,forward_heading,topology_guided_grid_fallback,3,FULL_GRID_FALLBACK,True,corridor_no_path,3,full_grid_astar,True,True,False,True,True,True,True,SUCCEEDED,False,0,0,0.834064,0.210233,739.655822,75.34590899999999,569.766016,1385.812044,38.80477272147525,0.3000000119209289,52.200714267493744,0.050000000745058,paths/q03_topology_guided_grid_fallback_measured_3_1787293392376508743.json.gz,963,grid,full_grid_fallback,"[142, 137, 129, 126, 107, 96, 87, 83, 82, 74, 69, 58, 55]",1.0,3,92512.0,93843.0,2593.0,252546.0,252546,1.0,52.200714267493744,639.7569219999999,,1500.0,140.0,1640.0,110.30329677150084,191070208,191070208,162822144,164466688,10.0,,1486.809595,1486.809595,52.200714267493744,1.0,38.80477272147525,7763.683896,776.3683896,2162.1804336,680.8717909999999
q03_topology_guided_grid_fallback_measured_4_1787293394517097173,2026-08-21T06:23:14.513161+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q03,forward_heading,topology_guided_grid_fallback,4,FULL_GRID_FALLBACK,True,corridor_no_path,3,full_grid_astar,True,True,False,True,True,True,True,SUCCEEDED,False,0,0,0.846608,0.208469,659.606205,58.047746,577.787913,1296.496941,38.80477272147525,0.3000000119209289,52.200714267493744,0.050000000745058,paths/q03_topology_guided_grid_fallback_measured_4_1787293394517097173.json.gz,963,grid,full_grid_fallback,"[142, 137, 129, 126, 107, 96, 87, 83, 82, 74, 69, 58, 55]",1.0,3,92512.0,93843.0,2593.0,252546.0,252546,1.0,52.200714267493744,629.9112329999999,,1410.0,120.0,1530.0,109.19750960733784,191070208,191070208,164466688,164466688,10.0,,1401.130855,1401.130855,52.200714267493744,1.0,38.80477272147525,7763.683896,776.3683896,2072.8653306,726.6831240000001
q03_topology_guided_grid_fallback_measured_5_1787293396650429334,2026-08-21T06:23:16.645608+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q03,forward_heading,topology_guided_grid_fallback,5,FULL_GRID_FALLBACK,True,corridor_no_path,3,full_grid_astar,True,True,False,True,True,True,True,SUCCEEDED,False,0,0,0.797989,0.212105,641.418398,54.124702,557.924327,1254.4775209999998,38.80477272147525,0.3000000119209289,52.200714267493744,0.050000000745058,paths/q03_topology_guided_grid_fallback_measured_5_1787293396650429334.json.gz,963,grid,full_grid_fallback,"[142, 137, 129, 126, 107, 96, 87, 83, 82, 74, 69, 58, 55]",1.0,3,92512.0,93843.0,2593.0,252546.0,252546,1.0,52.200714267493744,606.281905,,1380.0,100.0,1480.0,108.2843840116386,191070208,191070208,164466688,164466688,10.0,,1366.771408,1366.771408,52.200714267493744,1.0,38.80477272147525,7763.683896,776.3683896,2030.8459106,667.9266920000001
q04_topology_guided_grid_fallback_measured_1_1787293399749260286,2026-08-21T06:23:19.747029+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q04,forward_heading,topology_guided_grid_fallback,1,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,True,TOPOLOGY_COMPONENT_MISMATCH,0,none,True,False,False,False,False,False,False,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,False,0,0,0.693005,0.0,0.0,0.0,1572.292129,1572.985134,,,,,,0,grid,full_grid_fallback,[],,0,219970.0,219970.0,997.0,252546.0,252546,1.0,,1560.873308,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,1560.0,70.0,1630.0,103.54412153183176,201490432,228966400,174750720,203456512,10.0,,1574.20815,1574.20815,,,,7763.683896,776.3683896,2349.3535236,73.75524299999984
q04_topology_guided_grid_fallback_measured_2_1787293402653435945,2026-08-21T06:23:22.649540+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q04,forward_heading,topology_guided_grid_fallback,2,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,True,TOPOLOGY_COMPONENT_MISMATCH,0,none,True,False,False,False,False,False,False,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,False,0,0,0.701391,0.0,0.0,0.0,1449.792603,1450.4939940000002,,,,,,0,grid,full_grid_fallback,[],,0,219970.0,219970.0,997.0,252546.0,252546,1.0,,1438.079038,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,1430.0,50.0,1480.0,101.94712176242057,193044480,229040128,166389760,203233280,10.0,,1451.732991,1451.732991,,,,7763.683896,776.3683896,2226.8623836,11.805479000000105
q04_topology_guided_grid_fallback_measured_3_1787293405492793207,2026-08-21T06:23:25.488856+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q04,forward_heading,topology_guided_grid_fallback,3,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,True,TOPOLOGY_COMPONENT_MISMATCH,0,none,True,False,False,False,False,False,False,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,False,0,0,0.680645,0.0,0.0,0.0,1375.357054,1376.037699,,,,,,0,grid,full_grid_fallback,[],,0,219970.0,219970.0,997.0,252546.0,252546,1.0,,1364.169018,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,1370.0,60.0,1430.0,103.84322972637965,204312576,230727680,177709056,204124160,10.0,,1377.075813,1377.075813,,,,7763.683896,776.3683896,2152.4060886,-72.09823400000005
q04_topology_guided_grid_fallback_measured_4_1787293408356744456,2026-08-21T06:23:28.352756+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q04,forward_heading,topology_guided_grid_fallback,4,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,True,TOPOLOGY_COMPONENT_MISMATCH,0,none,True,False,False,False,False,False,False,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,False,0,0,0.684906,0.0,0.0,0.0,1420.147125,1420.832031,,,,,,0,grid,full_grid_fallback,[],,0,219970.0,219970.0,997.0,252546.0,252546,1.0,,1408.38581,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,1410.0,50.0,1460.0,102.65035366745064,204644352,230727680,178040832,204124160,10.0,,1422.303916,1422.303916,,,,7763.683896,776.3683896,2197.2004206,-5.833020000000033
q04_topology_guided_grid_fallback_measured_5_1787293411182624142,2026-08-21T06:23:31.177852+00:00,hospital_005,7cc20065986ac1cd55cb5c110554e65593cc657d7e866c40cd931d94fa035084,q04,forward_heading,topology_guided_grid_fallback,5,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,True,TOPOLOGY_COMPONENT_MISMATCH,0,none,True,False,False,False,False,False,False,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,False,0,0,0.663437,0.0,0.0,0.0,1374.446714,1375.110151,,,,,,0,grid,full_grid_fallback,[],,0,219970.0,219970.0,997.0,252546.0,252546,1.0,,1361.157151,STATIC_SEMANTICS_CONSERVATIVE_INFLATION_MISMATCH,1370.0,50.0,1420.0,103.14935808984951,204644352,230727680,178040832,204124160,10.0,,1376.644534,1376.644534,,,,7763.683896,776.3683896,2151.4785406,-58.15187300000002
