preference_mode,selected_weight,success_rate,path_length_ratio_mean,path_length_ratio_P95,expanded_nodes_change_ratio,online_time_change_ratio,selected_preference_error_mean_m,weight0_preference_error_mean_m,preference_error_reduction_ratio,correct_side_ratio_mean,preference_active_ratio_mean
center,1.0,0.9,1.0384551834162812,1.059699026031232,0.12415524106316145,0.2516735932246881,0.07777777521146667,0.6551490128040314,0.8812823133494798,,0.9820864913790577
right_edge,1.0,0.9,1.0594645475543631,1.110438879561497,0.1810233796324381,0.23989005909979166,0.239982760614819,1.0268380575709872,0.7662895732726301,0.8093214943204301,0.982921170360208
