planner,config_variant,metric,count,total_runs,action_success_count,action_success_rate,static_footprint_valid_count,static_footprint_valid_rate,final_valid_success_count,final_valid_success_rate,collision_path_count,mean,std,P50,P95,P99,min,max
navfn,product,stack_pss_peak_bytes,50,50,50,1.0,50,1.0,50,1.0,0,137006940.16,405822.16587531165,136934400.0,137789235.2,138186711.04,136415232.0,138285056.0
navfn,product,path_length_m,50,50,50,1.0,50,1.0,50,1.0,0,28.35535413758274,10.649805744648681,28.094562490270484,52.647231305593415,52.647231305593415,14.238579162212018,52.647231305593415
navfn,product,euclidean_distance_m,50,50,50,1.0,50,1.0,50,1.0,0,21.056678798969322,6.860808392084242,21.625483490613096,35.05567001213926,35.05567001213926,12.969194269498782,35.05567001213926
navfn,product,length_over_euclidean,50,50,50,1.0,50,1.0,50,1.0,0,1.3488473025488548,0.2670986709870892,1.250629089193511,1.935674884937477,1.935674884937477,1.084224444160957,1.935674884937477
navfn,product,length_over_navfn,50,50,50,1.0,50,1.0,50,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
navfn,product,length_over_shortest_observed_valid,50,50,50,1.0,50,1.0,50,1.0,0,1.0031845645052997,0.00902801181185094,1.0,1.029942289880104,1.029942289880104,1.0,1.029942289880104
navfn,product,minimum_clearance_m,50,50,50,1.0,50,1.0,50,1.0,0,0.5227829962968826,0.05163703627526691,0.5246124863624573,0.6000000238418579,0.6000000238418579,0.4000000059604645,0.6000000238418579
navfn,product,clearance_p05_m,50,50,50,1.0,50,1.0,50,1.0,0,0.6056589782238007,0.027810631097202533,0.6096124947071075,0.6500000357627869,0.6500000357627869,0.550000011920929,0.6500000357627869
navfn,product,clearance_p50_m,50,50,50,1.0,50,1.0,50,1.0,0,0.8606977164745331,0.1336230944454414,0.8750000298023224,1.0887597799301147,1.0887597799301147,0.6500000357627869,1.0887597799301147
navfn,product,footprint_collision_count,50,50,50,1.0,50,1.0,50,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
navfn,product,heading_change_p95_rad,50,50,50,1.0,50,1.0,50,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
navfn,product,curvature_p95_per_m,50,50,50,1.0,50,1.0,50,1.0,0,10.110255219401562,7.129403527372642,7.438159205965634,27.33184763360861,27.33184763360861,3.658116729759085,27.33184763360861
navfn,product,preferred_radius_violation_count,50,50,50,1.0,50,1.0,50,1.0,0,231.6,173.09912224632734,182.0,636.0,636.0,74.0,636.0
navfn,product,in_place_rotation_count,50,50,50,1.0,50,1.0,50,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
navfn,product,reverse_distance_m,50,50,50,1.0,50,1.0,50,1.0,0,15.305868372511918,12.331917071032418,19.554830029546753,35.41609361795899,35.41609361795899,0.090009133909686,35.41609361795899
navfn,product,reverse_ratio,50,50,50,1.0,50,1.0,50,1.0,0,0.49071409782776754,0.3895776283960593,0.5306090442905241,0.9792623844734256,0.9792623844734256,0.0063214968912461,0.9792623844734256
smac_hybrid,normalized,planning_time_ms,50,50,50,1.0,40,0.8,40,0.8,10,37.02908730000001,33.85205675169287,22.415436,101.10065575,117.80024591999995,9.673525,132.025824
smac_hybrid,normalized,wall_time_ms,50,50,50,1.0,40,0.8,40,0.8,10,50.804335179999995,34.711641880397615,35.0595875,116.74998599999999,134.20627474999995,18.235142,147.48171
smac_hybrid,normalized,cpu_total_ms,50,50,50,1.0,40,0.8,40,0.8,10,39.2,34.690468019739534,20.0,110.0,120.19999999999996,10.0,130.0
smac_hybrid,normalized,cpu_percent,50,50,50,1.0,40,0.8,40,0.8,10,69.9834910161486,19.054751528399393,67.38071788615544,94.87204605659792,103.41097333824793,30.4353660414299,109.67833428442728
smac_hybrid,normalized,planner_rss_peak_bytes,50,50,50,1.0,40,0.8,40,0.8,10,130317271.04,6105499.674373752,127397888.0,146528460.8,146530304.0,124968960.0,146530304.0
smac_hybrid,normalized,planner_pss_peak_bytes,50,50,50,1.0,40,0.8,40,0.8,10,94719938.56,6090677.16815757,91790848.0,110869708.8,110871552.0,89330688.0,110871552.0
smac_hybrid,normalized,stack_rss_peak_bytes,50,50,50,1.0,40,0.8,40,0.8,10,240633774.08,6138390.836987246,237768704.0,256940236.8,256942080.0,235266048.0,256942080.0
smac_hybrid,normalized,stack_pss_peak_bytes,50,50,50,1.0,40,0.8,40,0.8,10,139309158.4,6080480.678495914,136434176.0,155449548.8,155451392.0,133977088.0,155451392.0
smac_hybrid,normalized,path_length_m,50,50,50,1.0,40,0.8,40,0.8,10,28.312725586722465,10.068429658553658,27.864523810559575,51.463592791944365,51.463592791944365,15.053934301930868,51.463592791944365
