preference_mode,preference_weight,count,success_count,success_rate,path_length_mean_m,expanded_nodes_mean,online_time_mean_ms,center_deviation_p50_mean_m,right_wall_error_p50_mean_m
center,0.0,10,9,0.9,28.85250640236849,33048.77777777778,575.0130331111111,0.6551490128040314,nan
center,0.25,10,9,0.9,28.995179962741442,34851.22222222222,603.8748031111111,0.152975185877747,nan
center,0.5,10,9,0.9,29.1660261220692,36656.11111111111,604.1997406666665,0.13274681568145752,nan
center,1.0,10,9,0.9,30.04405161736459,38183.11111111111,603.1283426666666,0.07777777521146668,nan
none,0.0,10,9,0.9,28.85250640236849,33048.77777777778,500.00545366666665,nan,nan
right_edge,0.0,10,9,0.9,28.85250640236849,33048.77777777778,574.469959,nan,1.0268380575709872
right_edge,0.25,10,9,0.9,28.941857853038957,37099.555555555555,601.1431236666666,nan,0.36940930287043255
right_edge,0.5,10,9,0.9,29.090115028044597,39610.666666666664,611.0685745555555,nan,0.34647298521465725
right_edge,1.0,10,9,0.9,30.525873406594364,40478.333333333336,614.3422555555557,nan,0.239982760614819
